X+-+Результаты модуля (X)
0.0000+-+undefined
0.1000+-+9.9666
0.2000+-+4.9332
0.3000+-+3.2327
0.4000+-+2.3652
0.5000+-+1.8305
0.6000+-+1.4617
0.7000+-+1.1872
0.8000+-+0.9712
0.9000+-+0.7936
1.0000+-+0.6421
1.1000+-+0.5090
1.2000+-+0.3888
1.3000+-+0.2776
1.4000+-+0.1725
1.5000+-+0.0709
1.6000+-+-0.0292
1.7000+-+-0.1299
1.8000+-+-0.2333
1.9000+-+-0.3416
2.0000+-+-0.4577
2.1000+-+-0.5848
2.2000+-+-0.7279
2.3000+-+-0.8935
2.4000+-+-1.0917
2.5000+-+-1.3386
2.6000+-+-1.6622
2.7000+-+-2.1154
2.8000+-+-2.8127
2.9000+-+-4.0584
3.0000+-+-7.0153
3.1000+-+-24.0288
3.2000+-+17.1017
3.3000+-+6.2599
3.4000+-+3.7833
3.5000+-+2.6696
3.6000+-+2.0265
3.7000+-+1.6007
3.8000+-+1.2927
3.9000+-+1.0555
4.0000+-+0.8637
4.1000+-+0.7025
4.2000+-+0.5625
4.3000+-+0.4375
4.4000+-+0.3230
4.5000+-+0.2156
4.6000+-+0.1129
4.7000+-+0.0124
4.8000+-+-0.0878
4.9000+-+-0.1898
5.0000+-+-0.2958
5.1000+-+-0.4083
5.2000+-+-0.5303
5.3000+-+-0.6661
5.4000+-+-0.8213
5.5000+-+-1.0044
5.6000+-+-1.2286
5.7000+-+-1.5158
5.8000+-+-1.9060
5.9000+-+-2.4807
6.0000+-+-3.4364
6.1000+-+-5.3978
6.2000+-+-11.9936
