X,Результаты модуля (X)
0.0000,0.0000
0.1000,-0.1003
0.2000,-0.2027
0.3000,-0.3093
0.4000,-0.4228
0.5000,-0.5463
0.6000,-0.6841
0.7000,-0.8423
0.8000,-1.0296
0.9000,-1.2602
1.0000,-1.5574
1.1000,-1.9648
1.2000,-2.5722
1.3000,-3.6021
1.4000,-5.7979
1.5000,-14.1014
1.6000,34.2325
1.7000,7.6966
1.8000,4.2863
1.9000,2.9271
2.0000,2.1850
2.1000,1.7098
2.2000,1.3738
2.3000,1.1192
2.4000,0.9160
2.5000,0.7470
2.6000,0.6016
2.7000,0.4727
2.8000,0.3555
2.9000,0.2464
3.0000,0.1425
3.1000,0.0416
3.2000,-0.0585
3.3000,-0.1597
3.4000,-0.2643
3.5000,-0.3746
3.6000,-0.4935
3.7000,-0.6247
3.8000,-0.7736
3.9000,-0.9474
4.0000,-1.1578
4.1000,-1.4235
4.2000,-1.7778
4.3000,-2.2858
4.4000,-3.0963
4.5000,-4.6373
4.6000,-8.8602
4.7000,-80.7128
4.8000,11.3849
4.9000,5.2675
5.0000,3.3805
5.1000,2.4494
5.2000,1.8856
5.3000,1.5013
5.4000,1.2175
5.5000,0.9956
5.6000,0.8139
5.7000,0.6597
5.8000,0.5247
5.9000,0.4031
6.0000,0.2910
6.1000,0.1853
6.2000,0.0834
