X,Результаты модуля (X)
-1.0000,-1074.8959
-0.9900,-980.9414
-0.9800,-898.2899
-0.9700,-825.3514
-0.9600,-760.7891
-0.9500,-703.4750
-0.9400,-652.4538
-0.9300,-606.9140
-0.9200,-566.1634
-0.9100,-529.6104
-0.9000,-496.7472
-0.8900,-467.1368
-0.8800,-440.4022
-0.8700,-416.2171
-0.8600,-394.2985
-0.8500,-374.4000
-0.8400,-356.3067
-0.8300,-339.8310
-0.8200,-324.8083
-0.8100,-311.0940
-0.8000,-298.5611
-0.7900,-287.0974
-0.7800,-276.6040
-0.7700,-266.9933
-0.7600,-258.1875
-0.7500,-250.1179
-0.7400,-242.7232
-0.7300,-235.9489
-0.7200,-229.7467
-0.7100,-224.0732
-0.7000,-218.8902
-0.6900,-214.1633
-0.6800,-209.8620
-0.6700,-205.9592
-0.6600,-202.4309
-0.6500,-199.2557
-0.6400,-196.4148
-0.6300,-193.8917
-0.6200,-191.6721
-0.6100,-189.7434
-0.6000,-188.0951
-0.5900,-186.7182
-0.5800,-185.6056
-0.5700,-184.7515
-0.5600,-184.1518
-0.5500,-183.8038
-0.5400,-183.7063
-0.5300,-183.8596
-0.5200,-184.2656
-0.5100,-184.9275
-0.5000,-185.8504
-0.4900,-187.0410
-0.4800,-188.5078
-0.4700,-190.2614
-0.4600,-192.3144
-0.4500,-194.6819
-0.4400,-197.3815
-0.4300,-200.4339
-0.4200,-203.8630
-0.4100,-207.6965
-0.4000,-211.9664
-0.3900,-216.7098
-0.3800,-221.9692
-0.3700,-227.7941
-0.3600,-234.2416
-0.3500,-241.3783
-0.3400,-249.2813
-0.3300,-258.0411
-0.3200,-267.7635
-0.3100,-278.5734
-0.3000,-290.6184
-0.2900,-304.0742
-0.2800,-319.1510
-0.2700,-336.1019
-0.2600,-355.2339
-0.2500,-376.9216
-0.2400,-401.6269
-0.2300,-429.9230
-0.2200,-462.5294
-0.2100,-500.3579
-0.2000,-544.5778
-0.1900,-596.7078
-0.1800,-658.7485
-0.1700,-733.3764
-0.1600,-824.2350
-0.1500,-936.3831
-0.1400,-1076.9997
-0.1300,-1256.5334
-0.1200,-1490.6360
-0.1100,-1803.5529
-0.1000,-2234.3487
-0.0900,-2848.9863
-0.0800,-3765.3611
-0.0700,-5209.5461
-0.0600,-7655.6366
-0.0500,-12222.2850
-0.0400,-22016.9075
-0.0300,-48045.2443
-0.0200,-148991.1840
-0.0100,-1092940.8375
0.0000,undefined
0.0100,6.0988
0.0200,1.3258
0.0300,-0.4583
0.0400,-1.3392
0.0500,-1.8275
0.0600,-2.1123
0.0700,-2.2800
0.0800,-2.3755
0.0900,-2.4241
0.1000,-2.4414
0.1100,-2.4372
0.1200,-2.4180
0.1300,-2.3883
0.1400,-2.3510
0.1500,-2.3085
0.1600,-2.2623
0.1700,-2.2136
0.1800,-2.1632
0.1900,-2.1119
0.2000,-2.0602
0.2100,-2.0083
0.2200,-1.9566
0.2300,-1.9053
0.2400,-1.8546
0.2500,-1.8046
0.2600,-1.7554
0.2700,-1.7070
0.2800,-1.6595
0.2900,-1.6129
0.3000,-1.5673
0.3100,-1.5226
0.3200,-1.4789
0.3300,-1.4362
0.3400,-1.3944
0.3500,-1.3535
0.3600,-1.3136
0.3700,-1.2747
